Date,Dynamic_Threshold,Action_Adjustment,Policy_Position,Reward,Policy_Equity_Curve
2014-10-10,2.5,0.5,0,0.0,1.232780286967006
2014-10-13,2.0,0.0,0,-0.0,1.232780286967006
2014-10-14,2.5,0.5,0,0.0,1.232780286967006
2014-10-15,1.5,-0.5,0,-0.0,1.232780286967006
2014-10-16,1.5,-0.5,0,-0.0,1.232780286967006
2014-10-17,2.0,0.0,0,0.0,1.232780286967006
2014-10-20,1.5,-0.5,0,-0.0,1.232780286967006
2014-10-21,1.5,-0.5,0,-0.0,1.232780286967006
2014-10-22,2.0,0.0,0,-0.0,1.232780286967006
2014-10-23,2.5,0.5,0,0.0,1.232780286967006
2014-10-24,2.5,0.5,0,0.0,1.232780286967006
2014-10-27,2.5,0.5,0,0.0,1.232780286967006
2014-10-28,2.5,0.5,0,-0.0,1.232780286967006
2014-10-29,2.5,0.5,0,0.0,1.232780286967006
2014-10-30,2.5,0.5,0,-0.0,1.232780286967006
2014-10-31,2.5,0.5,0,-0.0,1.232780286967006
2014-11-03,2.5,0.5,0,0.0,1.232780286967006
2014-11-04,2.5,0.5,0,-0.0,1.232780286967006
2014-11-05,2.5,0.5,0,-0.0,1.232780286967006
2014-11-06,2.5,0.5,0,0.0,1.232780286967006
2014-11-07,2.5,0.5,0,-0.0,1.232780286967006
2014-11-10,2.5,0.5,0,0.0,1.232780286967006
2014-11-11,1.5,-0.5,-1,-0.009093237704917989,1.221570322779678
2014-11-12,1.5,-0.5,-1,-0.0002538393197106803,1.2212602401999648
2014-11-13,1.5,-0.5,-1,-0.003425961172439873,1.2170762500355952
2014-11-14,2.5,0.5,0,0.0,1.2170762500355952
2014-11-17,2.5,0.5,0,0.0,1.2170762500355952
2014-11-18,2.5,0.5,0,-0.0,1.2170762500355952
2014-11-19,2.5,0.5,0,0.0,1.2170762500355952
2014-11-20,2.5,0.5,0,0.0,1.2170762500355952
2014-11-21,2.5,0.5,0,-0.0,1.2170762500355952
2014-11-24,2.5,0.5,0,-0.0,1.2170762500355952
2014-11-25,2.5,0.5,0,0.0,1.2170762500355952
2014-11-26,2.5,0.5,0,-0.0,1.2170762500355952
2014-11-27,2.5,0.5,0,-0.0,1.2170762500355952
2014-11-28,2.5,0.5,0,0.0,1.2170762500355952
2014-12-01,2.5,0.5,0,-0.0,1.2170762500355952
2014-12-02,2.5,0.5,0,-0.0,1.2170762500355952
2014-12-03,2.5,0.5,0,0.0,1.2170762500355952
2014-12-04,2.5,0.5,0,-0.0,1.2170762500355952
2014-12-05,2.5,0.5,0,-0.0,1.2170762500355952
2014-12-08,2.5,0.5,0,0.0,1.2170762500355952
2014-12-09,2.5,0.5,0,0.0,1.2170762500355952
2014-12-10,2.5,0.5,0,0.0,1.2170762500355952
2014-12-11,2.5,0.5,0,-0.0,1.2170762500355952
2014-12-12,2.5,0.5,0,-0.0,1.2170762500355952
2014-12-15,2.5,0.5,0,0.0,1.2170762500355952
2014-12-16,2.5,0.5,0,-0.0,1.2170762500355952
2014-12-17,2.5,0.5,0,0.0,1.2170762500355952
2014-12-18,2.5,0.5,0,-0.0,1.2170762500355952
2014-12-19,2.5,0.5,0,-0.0,1.2170762500355952
2014-12-22,2.5,0.5,0,-0.0,1.2170762500355952
2014-12-23,2.5,0.5,0,0.0,1.2170762500355952
2014-12-24,2.5,0.5,0,0.0,1.2170762500355952
2014-12-25,2.5,0.5,0,0.0,1.2170762500355952
2014-12-26,2.5,0.5,0,0.0,1.2170762500355952
2014-12-29,2.5,0.5,0,0.0,1.2170762500355952
2014-12-30,2.5,0.5,0,-0.0,1.2170762500355952
2014-12-31,2.5,0.5,0,0.0,1.2170762500355952
2015-01-01,2.5,0.5,0,-0.0,1.2170762500355952
2015-01-02,2.0,0.0,0,-0.0,1.2170762500355952
2015-01-05,1.5,-0.5,0,0.0,1.2170762500355952
2015-01-06,1.5,-0.5,0,0.0,1.2170762500355952
2015-01-07,2.5,0.5,0,0.0,1.2170762500355952
2015-01-08,2.5,0.5,0,0.0,1.2170762500355952
2015-01-09,1.5,-0.5,0,-0.0,1.2170762500355952
2015-01-12,1.5,-0.5,0,-0.0,1.2170762500355952
2015-01-13,1.5,-0.5,0,-0.0,1.2170762500355952
2015-01-14,1.5,-0.5,0,0.0,1.2170762500355952
2015-01-15,1.5,-0.5,0,-0.0,1.2170762500355952
2015-01-16,1.5,-0.5,0,-0.0,1.2170762500355952
2015-01-19,2.0,0.0,0,-0.0,1.2170762500355952
2015-01-20,2.5,0.5,0,-0.0,1.2170762500355952
2015-01-21,2.5,0.5,0,-0.0,1.2170762500355952
2015-01-22,2.5,0.5,0,-0.0,1.2170762500355952
2015-01-23,2.0,0.0,0,-0.0,1.2170762500355952
2015-01-26,2.0,0.0,0,0.0,1.2170762500355952
2015-01-27,2.5,0.5,0,-0.0,1.2170762500355952
2015-01-28,2.5,0.5,1,-0.006970069700697024,1.208593143741784
2015-01-29,2.5,0.5,0,-0.0,1.208593143741784
2015-01-30,2.5,0.5,0,0.0,1.208593143741784
2015-02-02,2.5,0.5,0,0.0,1.208593143741784
2015-02-03,2.0,0.0,0,0.0,1.208593143741784
2015-02-04,2.0,0.0,0,0.0,1.208593143741784
2015-02-05,2.0,0.0,0,-0.0,1.208593143741784
2015-02-06,2.5,0.5,0,0.0,1.208593143741784
2015-02-09,2.5,0.5,0,-0.0,1.208593143741784
2015-02-10,2.5,0.5,0,-0.0,1.208593143741784
2015-02-11,2.5,0.5,0,0.0,1.208593143741784
2015-02-12,2.5,0.5,0,0.0,1.208593143741784
2015-02-13,2.5,0.5,0,0.0,1.208593143741784
2015-02-16,1.5,-0.5,0,0.0,1.208593143741784
2015-02-17,1.5,-0.5,0,0.0,1.208593143741784
2015-02-18,1.5,-0.5,0,-0.0,1.208593143741784
2015-02-19,1.5,-0.5,0,0.0,1.208593143741784
2015-02-20,1.5,-0.5,0,-0.0,1.208593143741784
2015-02-23,1.5,-0.5,0,-0.0,1.208593143741784
2015-02-24,1.5,-0.5,0,0.0,1.208593143741784
2015-02-25,1.5,-0.5,0,-0.0,1.208593143741784
2015-02-26,1.5,-0.5,0,0.0,1.208593143741784
2015-02-27,1.5,-0.5,0,-0.0,1.208593143741784
2015-03-02,1.5,-0.5,0,0.0,1.208593143741784
2015-03-03,1.5,-0.5,0,0.0,1.208593143741784
2015-03-04,1.5,-0.5,0,-0.0,1.208593143741784
2015-03-05,1.5,-0.5,0,-0.0,1.208593143741784
2015-03-06,1.5,-0.5,0,-0.0,1.208593143741784
2015-03-09,1.5,-0.5,0,-0.0,1.208593143741784
2015-03-10,2.5,0.5,0,0.0,1.208593143741784
2015-03-11,1.5,-0.5,0,0.0,1.208593143741784
2015-03-12,1.5,-0.5,0,-0.0,1.208593143741784
2015-03-13,1.5,-0.5,0,0.0,1.208593143741784
2015-03-16,1.5,-0.5,0,-0.0,1.208593143741784
2015-03-17,1.5,-0.5,0,0.0,1.208593143741784
2015-03-18,1.5,-0.5,0,-0.0,1.208593143741784
2015-03-19,1.5,-0.5,0,0.0,1.208593143741784
2015-03-20,2.5,0.5,0,0.0,1.208593143741784
2015-03-23,2.5,0.5,0,0.0,1.208593143741784
2015-03-24,2.5,0.5,0,-0.0,1.208593143741784
2015-03-25,2.5,0.5,0,-0.0,1.208593143741784
2015-03-26,2.5,0.5,0,-0.0,1.208593143741784
2015-03-27,1.5,-0.5,0,-0.0,1.208593143741784
2015-03-30,1.5,-0.5,0,-0.0,1.208593143741784
2015-03-31,1.5,-0.5,0,-0.0,1.208593143741784
2015-04-01,1.5,-0.5,0,0.0,1.208593143741784
2015-04-02,1.5,-0.5,0,0.0,1.208593143741784
2015-04-03,2.0,0.0,0,-0.0,1.208593143741784
2015-04-06,1.5,-0.5,0,-0.0,1.208593143741784
2015-04-07,1.5,-0.5,0,0.0,1.208593143741784
2015-04-08,2.0,0.0,0,0.0,1.208593143741784
2015-04-09,2.0,0.0,0,-0.0,1.208593143741784
2015-04-10,1.5,-0.5,0,-0.0,1.208593143741784
2015-04-13,1.5,-0.5,0,0.0,1.208593143741784
2015-04-14,1.5,-0.5,0,0.0,1.208593143741784
2015-04-15,2.5,0.5,0,0.0,1.208593143741784
2015-04-16,2.5,0.5,0,0.0,1.208593143741784
2015-04-17,2.5,0.5,0,-0.0,1.208593143741784
2015-04-20,2.5,0.5,0,0.0,1.208593143741784
2015-04-21,2.5,0.5,0,-0.0,1.208593143741784
2015-04-22,2.5,0.5,0,-0.0,1.208593143741784
2015-04-23,2.5,0.5,0,0.0,1.208593143741784
2015-04-24,2.5,0.5,0,0.0,1.208593143741784
2015-04-27,2.5,0.5,0,0.0,1.208593143741784
2015-04-28,2.5,0.5,0,-0.0,1.208593143741784
2015-04-29,2.5,0.5,0,-0.0,1.208593143741784
2015-04-30,2.5,0.5,0,-0.0,1.208593143741784
2015-05-01,2.5,0.5,0,0.0,1.208593143741784
2015-05-04,2.5,0.5,0,0.0,1.208593143741784
2015-05-05,2.5,0.5,0,-0.0,1.208593143741784
2015-05-06,2.5,0.5,0,-0.0,1.208593143741784
2015-05-07,2.5,0.5,0,0.0,1.208593143741784
2015-05-08,2.0,0.0,0,-0.0,1.208593143741784
2015-05-11,2.5,0.5,0,0.0,1.208593143741784
2015-05-12,2.5,0.5,0,0.0,1.208593143741784
2015-05-13,2.5,0.5,0,0.0,1.208593143741784
2015-05-14,2.0,0.0,0,-0.0,1.208593143741784
2015-05-15,2.5,0.5,0,-0.0,1.208593143741784
2015-05-18,2.5,0.5,0,-0.0,1.208593143741784
2015-05-19,2.0,0.0,0,-0.0,1.208593143741784
2015-05-20,2.0,0.0,0,0.0,1.208593143741784
2015-05-21,2.0,0.0,0,-0.0,1.208593143741784
2015-05-22,2.0,0.0,0,0.0,1.208593143741784
2015-05-25,2.0,0.0,0,-0.0,1.208593143741784
2015-05-26,2.0,0.0,0,0.0,1.208593143741784
2015-05-27,2.0,0.0,0,-0.0,1.208593143741784
2015-05-28,2.0,0.0,0,-0.0,1.208593143741784
2015-05-29,2.0,0.0,0,-0.0,1.208593143741784
2015-06-01,2.0,0.0,0,0.0,1.208593143741784
2015-06-02,2.0,0.0,0,-0.0,1.208593143741784
2015-06-03,2.0,0.0,0,-0.0,1.208593143741784
2015-06-04,2.0,0.0,0,-0.0,1.208593143741784
2015-06-05,2.0,0.0,0,0.0,1.208593143741784
2015-06-08,2.0,0.0,0,-0.0,1.208593143741784
2015-06-09,2.0,0.0,0,0.0,1.208593143741784
2015-06-10,2.0,0.0,0,-0.0,1.208593143741784
2015-06-11,2.0,0.0,0,-0.0,1.208593143741784
2015-06-12,2.0,0.0,0,0.0,1.208593143741784
2015-06-15,2.0,0.0,0,-0.0,1.208593143741784
2015-06-16,2.0,0.0,0,-0.0,1.208593143741784
2015-06-17,2.0,0.0,0,-0.0,1.208593143741784
2015-06-18,2.0,0.0,0,-0.0,1.208593143741784
2015-06-19,2.0,0.0,0,-0.0,1.208593143741784
2015-06-22,2.0,0.0,0,-0.0,1.208593143741784
2015-06-23,2.0,0.0,0,0.0,1.208593143741784
2015-06-24,2.0,0.0,0,0.0,1.208593143741784
2015-06-25,2.5,0.5,0,-0.0,1.208593143741784
2015-06-26,2.0,0.0,0,-0.0,1.208593143741784
2015-06-29,2.0,0.0,0,-0.0,1.208593143741784
2015-06-30,2.0,0.0,0,-0.0,1.208593143741784
2015-07-01,2.0,0.0,0,-0.0,1.208593143741784
2015-07-02,2.0,0.0,0,-0.0,1.208593143741784
2015-07-03,2.0,0.0,0,-0.0,1.208593143741784
2015-07-06,2.0,0.0,0,-0.0,1.208593143741784
2015-07-07,2.0,0.0,0,0.0,1.208593143741784
2015-07-08,2.5,0.5,0,0.0,1.208593143741784
2015-07-09,2.5,0.5,0,-0.0,1.208593143741784
2015-07-10,2.0,0.0,0,-0.0,1.208593143741784
2015-07-13,2.0,0.0,0,0.0,1.208593143741784
2015-07-14,2.5,0.5,0,-0.0,1.208593143741784
2015-07-15,2.5,0.5,0,-0.0,1.208593143741784
2015-07-16,2.5,0.5,0,0.0,1.208593143741784
2015-07-17,2.5,0.5,0,0.0,1.208593143741784
2015-07-20,2.5,0.5,0,0.0,1.208593143741784
2015-07-21,2.5,0.5,0,-0.0,1.208593143741784
2015-07-22,2.5,0.5,0,0.0,1.208593143741784
2015-07-23,2.5,0.5,0,-0.0,1.208593143741784
2015-07-24,2.5,0.5,0,0.0,1.208593143741784
2015-07-27,2.5,0.5,0,0.0,1.208593143741784
2015-07-28,2.5,0.5,0,-0.0,1.208593143741784
2015-07-29,2.5,0.5,0,-0.0,1.208593143741784
2015-07-30,2.5,0.5,0,-0.0,1.208593143741784
2015-07-31,2.5,0.5,0,-0.0,1.208593143741784
2015-08-03,2.5,0.5,0,-0.0,1.208593143741784
2015-08-04,2.5,0.5,0,-0.0,1.208593143741784
2015-08-05,2.5,0.5,0,0.0,1.208593143741784
2015-08-06,2.5,0.5,0,0.0,1.208593143741784
2015-08-07,2.5,0.5,0,-0.0,1.208593143741784
2015-08-10,2.5,0.5,0,-0.0,1.208593143741784
2015-08-11,2.5,0.5,0,0.0,1.208593143741784
2015-08-12,2.5,0.5,0,-0.0,1.208593143741784
2015-08-13,2.5,0.5,0,-0.0,1.208593143741784
2015-08-14,2.5,0.5,0,0.0,1.208593143741784
2015-08-17,2.5,0.5,0,0.0,1.208593143741784
2015-08-18,2.5,0.5,0,0.0,1.208593143741784
2015-08-19,2.5,0.5,0,0.0,1.208593143741784
2015-08-20,2.5,0.5,0,0.0,1.208593143741784
2015-08-21,2.5,0.5,0,-0.0,1.208593143741784
2015-08-24,1.5,-0.5,0,-0.0,1.208593143741784
2015-08-25,1.5,-0.5,0,-0.0,1.208593143741784
2015-08-26,1.5,-0.5,0,0.0,1.208593143741784
2015-08-27,1.5,-0.5,0,-0.0,1.208593143741784
2015-08-28,1.5,-0.5,0,-0.0,1.208593143741784
2015-08-31,1.5,-0.5,0,-0.0,1.208593143741784
2015-09-01,1.5,-0.5,0,0.0,1.208593143741784
2015-09-02,1.5,-0.5,0,0.0,1.208593143741784
2015-09-03,1.5,-0.5,0,-0.0,1.208593143741784
2015-09-04,1.5,-0.5,0,-0.0,1.208593143741784
2015-09-07,1.5,-0.5,0,0.0,1.208593143741784
2015-09-08,1.5,-0.5,0,0.0,1.208593143741784
2015-09-09,1.5,-0.5,0,-0.0,1.208593143741784
2015-09-10,1.5,-0.5,0,0.0,1.208593143741784
2015-09-11,1.5,-0.5,0,0.0,1.208593143741784
2015-09-14,1.5,-0.5,0,0.0,1.208593143741784
2015-09-15,2.5,0.5,0,0.0,1.208593143741784
2015-09-16,1.5,-0.5,0,-0.0,1.208593143741784
2015-09-17,1.5,-0.5,0,0.0,1.208593143741784
2015-09-18,1.5,-0.5,0,-0.0,1.208593143741784
2015-09-21,1.5,-0.5,0,-0.0,1.208593143741784
2015-09-22,1.5,-0.5,0,-0.0,1.208593143741784
2015-09-23,1.5,-0.5,0,0.0,1.208593143741784
2015-09-24,2.5,0.5,0,0.0,1.208593143741784
2015-09-25,2.5,0.5,0,-0.0,1.208593143741784
2015-09-28,2.5,0.5,0,0.0,1.208593143741784
2015-09-29,2.5,0.5,0,0.0,1.208593143741784
2015-09-30,2.5,0.5,0,0.0,1.208593143741784
2015-10-01,2.5,0.5,0,0.0,1.208593143741784
2015-10-02,2.5,0.5,0,0.0,1.208593143741784
2015-10-05,2.5,0.5,0,0.0,1.208593143741784
2015-10-06,2.0,0.0,0,0.0,1.208593143741784
2015-10-07,2.5,0.5,0,0.0,1.208593143741784
2015-10-08,2.5,0.5,0,0.0,1.208593143741784
2015-10-09,2.5,0.5,0,0.0,1.208593143741784
2015-10-12,2.5,0.5,0,-0.0,1.208593143741784
2015-10-13,2.5,0.5,0,0.0,1.208593143741784
2015-10-14,1.5,-0.5,0,0.0,1.208593143741784
2015-10-15,2.5,0.5,0,-0.0,1.208593143741784
2015-10-16,2.5,0.5,0,-0.0,1.208593143741784
2015-10-19,2.5,0.5,0,-0.0,1.208593143741784
2015-10-20,1.5,-0.5,0,-0.0,1.208593143741784
2015-10-21,2.0,0.0,0,0.0,1.208593143741784
2015-10-22,2.5,0.5,0,-0.0,1.208593143741784
2015-10-23,2.0,0.0,0,0.0,1.208593143741784
2015-10-26,2.5,0.5,0,-0.0,1.208593143741784
2015-10-27,1.5,-0.5,0,-0.0,1.208593143741784
2015-10-28,1.5,-0.5,0,-0.0,1.208593143741784
2015-10-29,1.5,-0.5,0,0.0,1.208593143741784
2015-10-30,2.5,0.5,0,-0.0,1.208593143741784
2015-11-02,2.5,0.5,0,-0.0,1.208593143741784
2015-11-03,1.5,-0.5,0,-0.0,1.208593143741784
2015-11-04,1.5,-0.5,0,0.0,1.208593143741784
2015-11-05,1.5,-0.5,0,-0.0,1.208593143741784
2015-11-06,2.5,0.5,0,0.0,1.208593143741784
2015-11-09,2.5,0.5,0,-0.0,1.208593143741784
2015-11-10,2.5,0.5,0,0.0,1.208593143741784
2015-11-11,2.5,0.5,0,-0.0,1.208593143741784
2015-11-12,2.5,0.5,0,-0.0,1.208593143741784
2015-11-13,1.5,-0.5,0,-0.0,1.208593143741784
2015-11-16,2.5,0.5,0,-0.0,1.208593143741784
2015-11-17,2.5,0.5,0,0.0,1.208593143741784
2015-11-18,2.5,0.5,0,0.0,1.208593143741784
2015-11-19,2.5,0.5,0,-0.0,1.208593143741784
2015-11-20,1.5,-0.5,0,-0.0,1.208593143741784
2015-11-23,1.5,-0.5,0,0.0,1.208593143741784
2015-11-24,1.5,-0.5,0,0.0,1.208593143741784
2015-11-25,1.5,-0.5,0,-0.0,1.208593143741784
2015-11-26,1.5,-0.5,0,-0.0,1.208593143741784
2015-11-27,1.5,-0.5,0,0.0,1.208593143741784
2015-11-30,2.0,0.0,0,0.0,1.208593143741784
2015-12-01,2.5,0.5,0,-0.0,1.208593143741784
2015-12-02,2.5,0.5,0,0.0,1.208593143741784
2015-12-03,2.5,0.5,0,0.0,1.208593143741784
2015-12-04,2.5,0.5,0,-0.0,1.208593143741784
2015-12-07,1.5,-0.5,0,0.0,1.208593143741784
2015-12-08,2.5,0.5,0,0.0,1.208593143741784
2015-12-09,2.5,0.5,0,0.0,1.208593143741784
2015-12-10,2.5,0.5,0,-0.0,1.208593143741784
2015-12-11,2.5,0.5,0,0.0,1.208593143741784
2015-12-14,2.5,0.5,-1,-0.0011836070424620093,1.20716264438538
2015-12-15,2.5,0.5,-1,-0.004581055120437494,1.2016325657721174
2015-12-16,2.5,0.5,0,-0.0,1.2016325657721174
2015-12-17,2.5,0.5,0,0.0,1.2016325657721174
2015-12-18,2.5,0.5,0,0.0,1.2016325657721174
2015-12-21,2.5,0.5,0,0.0,1.2016325657721174
2015-12-22,2.5,0.5,0,-0.0,1.2016325657721174
2015-12-23,2.5,0.5,0,0.0,1.2016325657721174
2015-12-24,2.5,0.5,0,0.0,1.2016325657721174
2015-12-25,2.5,0.5,0,0.0,1.2016325657721174
2015-12-28,2.5,0.5,0,0.0,1.2016325657721174
2015-12-29,2.0,0.0,0,-0.0,1.2016325657721174
2015-12-30,2.0,0.0,0,-0.0,1.2016325657721174
2015-12-31,2.0,0.0,0,0.0,1.2016325657721174
2016-01-01,2.0,0.0,0,-0.0,1.2016325657721174
2016-01-04,2.5,0.5,1,-0.006960900473933718,1.19326812107554
2016-01-05,2.5,0.5,1,-0.009843400447427153,1.1815223051186445
2016-01-06,2.5,0.5,1,-0.0018075011296883048,1.1793867022173907
2016-01-07,2.5,0.5,1,-0.012373623057190253,1.16479341572549
2016-01-08,2.5,0.5,1,0.0022918258212376585,1.1674629193520574
2016-01-11,2.5,0.5,0,-0.0,1.1674629193520574
2016-01-12,2.5,0.5,0,-0.0,1.1674629193520574
2016-01-13,2.5,0.5,0,-0.0,1.1674629193520574
2016-01-14,2.5,0.5,0,-0.0,1.1674629193520574
2016-01-15,2.5,0.5,0,-0.0,1.1674629193520574
2016-01-18,2.0,0.0,0,-0.0,1.1674629193520574
2016-01-19,2.0,0.0,0,0.0,1.1674629193520574
2016-01-20,2.0,0.0,0,0.0,1.1674629193520574
2016-01-21,2.0,0.0,0,-0.0,1.1674629193520574
2016-01-22,2.0,0.0,0,-0.0,1.1674629193520574
2016-01-25,2.0,0.0,0,0.0,1.1674629193520574
2016-01-26,2.0,0.0,0,-0.0,1.1674629193520574
2016-01-27,2.0,0.0,0,0.0,1.1674629193520574
2016-01-28,2.0,0.0,0,0.0,1.1674629193520574
2016-01-29,2.0,0.0,0,0.0,1.1674629193520574
2016-02-01,2.0,0.0,0,-0.0,1.1674629193520574
2016-02-02,2.0,0.0,0,0.0,1.1674629193520574
2016-02-03,2.5,0.5,0,0.0,1.1674629193520574
2016-02-04,2.5,0.5,0,-0.0,1.1674629193520574
2016-02-05,2.0,0.0,0,-0.0,1.1674629193520574
2016-02-08,2.0,0.0,0,0.0,1.1674629193520574
2016-02-09,2.5,0.5,0,0.0,1.1674629193520574
2016-02-10,2.5,0.5,0,0.0,1.1674629193520574
2016-02-11,2.5,0.5,0,-0.0,1.1674629193520574
2016-02-12,2.5,0.5,0,0.0,1.1674629193520574
2016-02-15,2.5,0.5,0,-0.0,1.1674629193520574
2016-02-16,2.5,0.5,0,0.0,1.1674629193520574
2016-02-17,2.5,0.5,0,0.0,1.1674629193520574
2016-02-18,2.5,0.5,0,-0.0,1.1674629193520574
2016-02-19,2.5,0.5,0,0.0,1.1674629193520574
2016-02-22,2.5,0.5,0,-0.0,1.1674629193520574
2016-02-23,2.5,0.5,0,0.0,1.1674629193520574
2016-02-24,2.5,0.5,0,0.0,1.1674629193520574
2016-02-25,2.5,0.5,0,-0.0,1.1674629193520574
2016-02-26,2.5,0.5,0,-0.0,1.1674629193520574
2016-02-29,2.5,0.5,0,0.0,1.1674629193520574
2016-03-01,2.5,0.5,0,0.0,1.1674629193520574
2016-03-02,2.5,0.5,0,0.0,1.1674629193520574
2016-03-03,1.5,-0.5,0,0.0,1.1674629193520574
2016-03-04,2.0,0.0,0,-0.0,1.1674629193520574
2016-03-07,2.0,0.0,0,-0.0,1.1674629193520574
2016-03-08,2.5,0.5,0,-0.0,1.1674629193520574
2016-03-09,2.5,0.5,0,0.0,1.1674629193520574
2016-03-10,2.5,0.5,0,0.0,1.1674629193520574
2016-03-11,2.0,0.0,0,-0.0,1.1674629193520574
2016-03-14,2.5,0.5,0,-0.0,1.1674629193520574
2016-03-15,2.5,0.5,0,0.0,1.1674629193520574
2016-03-16,2.5,0.5,0,0.0,1.1674629193520574
2016-03-17,1.5,-0.5,0,-0.0,1.1674629193520574
2016-03-18,1.5,-0.5,0,-0.0,1.1674629193520574
2016-03-21,1.5,-0.5,0,-0.0,1.1674629193520574
2016-03-22,2.0,0.0,-1,0.006959869687546361,1.1755883091357902
2016-03-23,2.0,0.0,-1,0.0005964807634952773,1.1762895249479797
2016-03-24,2.0,0.0,-1,0.0023873470605789704,1.1790977362877542
2016-03-25,2.5,0.5,0,0.0,1.1790977362877542
2016-03-28,2.5,0.5,0,0.0,1.1790977362877542
2016-03-29,2.0,0.0,-1,-0.010364963503649571,1.1668764312838957
2016-03-30,1.5,-0.5,-1,0.001733853489380266,1.1688996240559528
2016-03-31,2.0,0.0,-1,0.000723693732812225,1.1697455493881688
2016-04-01,2.0,0.0,-1,0.01013904982618774,1.1816056577973768
2016-04-04,2.0,0.0,0,-0.0,1.1816056577973768
2016-04-05,2.0,0.0,0,0.0,1.1816056577973768
2016-04-06,2.5,0.5,0,-0.0,1.1816056577973768
2016-04-07,2.0,0.0,0,0.0,1.1816056577973768
2016-04-08,2.5,0.5,0,0.0,1.1816056577973768
2016-04-11,2.5,0.5,0,0.0,1.1816056577973768
2016-04-12,2.5,0.5,0,-0.0,1.1816056577973768
2016-04-13,2.5,0.5,0,-0.0,1.1816056577973768
2016-04-14,2.0,0.0,0,0.0,1.1816056577973768
2016-04-15,2.5,0.5,0,0.0,1.1816056577973768
2016-04-18,2.5,0.5,0,0.0,1.1816056577973768
2016-04-19,2.5,0.5,0,-0.0,1.1816056577973768
2016-04-20,2.5,0.5,0,-0.0,1.1816056577973768
2016-04-21,2.0,0.0,0,-0.0,1.1816056577973768
2016-04-22,2.0,0.0,0,0.0,1.1816056577973768
2016-04-25,2.0,0.0,0,0.0,1.1816056577973768
2016-04-26,2.0,0.0,0,-0.0,1.1816056577973768
2016-04-27,2.0,0.0,0,0.0,1.1816056577973768
2016-04-28,2.0,0.0,0,0.0,1.1816056577973768
2016-04-29,2.0,0.0,0,0.0,1.1816056577973768
2016-05-02,2.5,0.5,0,-0.0,1.1816056577973768
2016-05-03,2.0,0.0,0,-0.0,1.1816056577973768
2016-05-04,2.0,0.0,0,0.0,1.1816056577973768
2016-05-05,2.0,0.0,0,-0.0,1.1816056577973768
2016-05-06,2.5,0.5,0,-0.0,1.1816056577973768
2016-05-09,2.5,0.5,0,-0.0,1.1816056577973768
2016-05-10,2.5,0.5,0,0.0,1.1816056577973768
2016-05-11,2.5,0.5,0,0.0,1.1816056577973768
2016-05-12,2.5,0.5,0,-0.0,1.1816056577973768
2016-05-13,2.5,0.5,0,0.0,1.1816056577973768
2016-05-16,2.5,0.5,0,0.0,1.1816056577973768
2016-05-17,2.5,0.5,0,-0.0,1.1816056577973768
2016-05-18,2.0,0.0,0,0.0,1.1816056577973768
2016-05-19,2.0,0.0,0,0.0,1.1816056577973768
2016-05-20,2.5,0.5,0,-0.0,1.1816056577973768
2016-05-23,2.5,0.5,0,-0.0,1.1816056577973768
2016-05-24,2.0,0.0,0,0.0,1.1816056577973768
2016-05-25,2.0,0.0,0,0.0,1.1816056577973768
2016-05-26,2.0,0.0,0,-0.0,1.1816056577973768
2016-05-27,2.5,0.5,0,-0.0,1.1816056577973768
2016-05-30,2.0,0.0,0,0.0,1.1816056577973768
2016-05-31,2.0,0.0,0,0.0,1.1816056577973768
2016-06-01,2.5,0.5,0,-0.0,1.1816056577973768
2016-06-02,2.5,0.5,0,0.0,1.1816056577973768
2016-06-03,2.0,0.0,0,-0.0,1.1816056577973768
2016-06-06,2.5,0.5,0,0.0,1.1816056577973768
2016-06-07,2.0,0.0,0,0.0,1.1816056577973768
2016-06-08,2.0,0.0,0,0.0,1.1816056577973768
2016-06-09,2.5,0.5,0,-0.0,1.1816056577973768
2016-06-10,2.0,0.0,0,0.0,1.1816056577973768
2016-06-13,2.0,0.0,0,-0.0,1.1816056577973768
2016-06-14,1.5,-0.5,0,0.0,1.1816056577973768
2016-06-15,2.0,0.0,0,0.0,1.1816056577973768
2016-06-16,1.5,-0.5,0,0.0,1.1816056577973768
2016-06-17,2.0,0.0,0,0.0,1.1816056577973768
2016-06-20,1.5,-0.5,0,0.0,1.1816056577973768
2016-06-21,2.0,0.0,0,0.0,1.1816056577973768
2016-06-22,1.5,-0.5,0,0.0,1.1816056577973768
2016-06-23,2.0,0.0,0,-0.0,1.1816056577973768
2016-06-24,2.0,0.0,0,-0.0,1.1816056577973768
2016-06-27,2.5,0.5,0,0.0,1.1816056577973768
2016-06-28,2.5,0.5,0,0.0,1.1816056577973768
2016-06-29,1.5,-0.5,0,0.0,1.1816056577973768
2016-06-30,1.5,-0.5,0,0.0,1.1816056577973768
2016-07-01,2.0,0.0,0,0.0,1.1816056577973768
2016-07-04,2.0,0.0,0,-0.0,1.1816056577973768
2016-07-05,2.0,0.0,0,-0.0,1.1816056577973768
2016-07-06,2.0,0.0,0,0.0,1.1816056577973768
2016-07-07,2.5,0.5,0,0.0,1.1816056577973768
2016-07-08,2.5,0.5,0,-0.0,1.1816056577973768
2016-07-11,2.0,0.0,0,0.0,1.1816056577973768
2016-07-12,2.0,0.0,0,-0.0,1.1816056577973768
2016-07-13,1.5,-0.5,0,-0.0,1.1816056577973768
